"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KOTAKBANK","EQ","25-Jan-2017","        743.35","        747.50","        800.90","        745.05","        793.90","        795.20","        783.59","    8772524","          6874097846.45","     129240","    3407861","         38.85"
"KOTAKBANK","EQ","27-Jan-2017","        795.20","        798.00","        802.10","        780.45","        783.05","        785.05","        789.49","    3709367","          2928507298.25","      89142","    2367815","         63.83"
"KOTAKBANK","EQ","30-Jan-2017","        785.05","        786.00","        790.00","        771.10","        777.00","        775.60","        780.29","    2183478","          1703738403.30","      24641","    1594274","         73.02"
"KOTAKBANK","EQ","31-Jan-2017","        775.60","        777.00","        780.30","        763.05","        775.50","        774.15","        771.53","    1400680","          1080672932.05","      27789","     705400","         50.36"
"KOTAKBANK","EQ","01-Feb-2017","        774.15","        777.50","        782.95","        739.15","        776.65","        777.05","        764.25","    4951867","          3784488756.20","      94607","    2401355","         48.49"
"KOTAKBANK","EQ","02-Feb-2017","        777.05","        779.00","        780.45","        764.45","        765.90","        770.40","        773.27","    2022953","          1564285855.15","      54709","    1280943","         63.32"
"KOTAKBANK","EQ","03-Feb-2017","        770.40","        769.50","        777.20","        760.00","        764.55","        765.30","        769.33","    1562576","          1202133817.65","      31316","    1006538","         64.42"
"KOTAKBANK","EQ","06-Feb-2017","        765.30","        770.00","        773.75","        765.30","        767.00","        766.70","        768.87","    1967556","          1512803157.65","      53110","    1324517","         67.32"
"KOTAKBANK","EQ","07-Feb-2017","        766.70","        769.00","        784.95","        768.50","        773.80","        773.35","        776.94","    2996111","          2327792340.25","      41285","    1969543","         65.74"
"KOTAKBANK","EQ","08-Feb-2017","        773.35","        774.40","        776.20","        762.00","        768.10","        767.60","        769.67","    2607668","          2007050494.55","      39564","    1789315","         68.62"
"KOTAKBANK","EQ","09-Feb-2017","        767.60","        769.90","        779.50","        765.00","        769.90","        769.65","        771.39","    1306279","          1007647661.85","      27883","     778187","         59.57"
"KOTAKBANK","EQ","10-Feb-2017","        769.65","        771.10","        786.30","        771.10","        779.25","        778.90","        778.97","    1871296","          1457687022.70","      47519","    1134104","         60.61"
"KOTAKBANK","EQ","13-Feb-2017","        778.90","        779.80","        796.00","        779.50","        792.00","        793.15","        791.39","    1804668","          1428193562.35","      37181","     829893","         45.99"
"KOTAKBANK","EQ","14-Feb-2017","        793.15","        793.90","        796.35","        785.95","        789.50","        790.30","        790.85","    1338969","          1058921872.55","      28368","     979118","         73.12"
"KOTAKBANK","EQ","15-Feb-2017","        790.30","        791.20","        795.00","        781.75","        783.55","        784.30","        789.64","    1360744","          1074495163.35","      27997","     938258","         68.95"
